index,start_date,lat,lon,P0.1_N1_ALL_C4
97128,1993-03-01,48.76118,52.48995,1
97132,1993-03-01,47.99204,53.25589,1
97137,1993-03-01,47.01715,54.1762,1
97157,1993-03-01,42.97753,57.48546,0
97167,1993-03-01,40.8792,58.94323,1
97177,1993-03-01,38.73161,60.28743,0
97207,1993-03-01,32.00583,63.7469,0
97216,1993-03-01,29.90665,64.64312,0
97217,1993-03-01,29.67109,64.73918,0
97230,1993-03-01,26.56579,65.92866,0
97236,1993-03-01,0.36199,-72.1213,0
97238,1993-03-01,0.96516,-72.02259,0
97240,1993-03-01,1.56489,-71.92283,0
97243,1993-03-01,2.45817,-71.77115,0
97247,1993-03-01,3.63773,-71.56505,0
97264,1993-03-01,8.51421,-70.6366,0
97287,1993-03-01,64.35689,12.80426,1
97290,1993-03-01,64.19444,14.28109,1
97305,1993-03-01,62.77876,23.13569,1
97308,1993-03-01,62.49797,24.44395,1
97318,1993-03-01,61.45959,28.61046,1
97334,1993-03-01,58.54203,37.03621,1
97343,1993-03-01,57.22814,39.90788,1
97360,1993-03-01,54.52656,44.73837,1
97362,1993-03-01,54.19169,45.25925,1
97371,1993-03-01,52.64461,47.48955,1
97376,1993-03-01,51.75821,48.65222,1
97383,1993-03-01,50.48709,50.19442,1
97398,1993-03-01,47.65386,53.19251,1
97410,1993-03-01,45.28923,55.32359,0
97431,1993-03-01,40.96254,58.57043,0
97433,1993-03-01,40.53871,58.85142,1
97435,1993-03-01,40.1129,59.12792,1
97472,1993-03-01,31.89137,63.53874,0
97485,1993-03-01,28.85062,64.82246,0
97491,1993-03-01,27.42034,65.37643,0
97511,1993-03-01,3.53952,-71.40893,0
97522,1993-03-01,6.71863,-70.81402,0
