index,start_date,lat,lon,P0.1_N1_[ALL]_C5
49043,2006-12-01,48.82243,-98.03944,1
49045,2006-12-01,49.2989,-98.1301,1
49067,2006-12-01,56.11666,-99.71668,4
49073,2006-12-01,57.50693,-100.12467,1
49085,2006-12-01,60.2673,-101.05146,1
49090,2006-12-01,61.63739,-101.58062,4
49103,2006-12-01,64.80738,-103.03336,1
49104,2006-12-01,65.03232,-103.15095,1
49115,2006-12-01,67.49253,-104.59657,1
49120,2006-12-01,68.6017,-105.36162,4
49133,2006-12-01,72.10558,-108.43495,4
49163,2006-12-01,71.01887,107.35403,1
49168,2006-12-01,69.92434,106.38954,1
49176,2006-12-01,68.15876,105.04639,1
49182,2006-12-01,66.82421,104.17234,1
49183,2006-12-01,66.60098,104.03625,1
49185,2006-12-01,66.15386,103.7716,1
49189,2006-12-01,65.25705,103.27065,1
49200,2006-12-01,62.77391,102.06131,1
49207,2006-12-01,61.18144,101.39877,1
49232,2006-12-01,55.41898,99.52467,1
49257,2006-12-01,49.53681,98.1762,1
49266,2006-12-01,47.3879,97.77914,1
49297,2006-12-01,39.84379,96.66323,0
49300,2006-12-01,39.10096,96.57192,4
49308,2006-12-01,37.10803,96.34019,4
49312,2006-12-01,36.10478,96.23032,0
49313,2006-12-01,35.85324,96.20345,1
49314,2006-12-01,35.6014,96.1768,1
49344,2006-12-01,27.898,95.47141,0
49348,2006-12-01,26.84727,95.38931,0
49349,2006-12-01,26.58364,95.36917,0
49353,2006-12-01,25.52526,95.29008,0
49388,2006-12-01,15.97032,94.6859,0
49395,2006-12-01,17.95016,-94.60448,0
49398,2006-12-01,29.22801,-95.35583,3
49412,2006-12-01,32.83696,-95.6637,3
49427,2006-12-01,36.63406,-96.03529,2
49443,2006-12-01,40.61286,-96.48917,2
49452,2006-12-01,42.82134,-96.77566,2
