index,lat,lon,ft_frozen,fw_fw_06_swe_-3,clusteringLabel
85327,19.943,75.91613,0,0,0
85360,10.84114,77.33687,0,0,0
85369,8.2466,77.67669,0,0,0
85382,7.89096,-77.54565,0,0,0
85388,44.25287,-68.62938,0,0,0
85417,51.7876,-64.35899,37,0,1
85429,54.33824,-62.44719,40,0,3
85454,66.39635,46.16914,53,0,3
85458,65.72313,47.65419,51,0,3
85527,52.21693,64.0577,31,0,1
85549,47.40756,67.04591,4,0,0
85580,40.32838,70.29202,35,0,1
85595,36.78065,71.56505,0,0,0
85624,29.68793,73.62312,0,0,0
85629,28.43223,73.9336,0,0,0
85630,28.17987,73.99432,0,0,0
85633,27.42034,74.17384,0,0,0
85646,24.08498,74.90842,0,0,0
85662,19.87555,75.72581,0,0,0
85679,15.26395,76.50426,0,0,0
85715,7.53383,-77.41555,0,0,0
85725,45.07029,-67.92471,10,0,2
85747,51.03816,-64.49306,29,0,1
85767,55.26924,-61.23884,37,0,1
85772,63.82405,-50.64055,58,2,3
85814,60.66676,55.44562,36,0,1
85819,59.69905,56.66877,36,1,1
85844,54.64594,61.77466,32,0,1
85894,43.70745,68.57132,0,0,0
85899,42.5619,69.0832,2,0,0
85903,41.63904,69.47616,15,0,2
85912,39.54179,70.3106,46,0,3
85941,32.58503,72.60398,0,0,0
85973,24.53218,74.59862,0,0,0
86103,64.0309,-49.61635,0,0,0
86133,62.95769,51.49077,40,0,3
86137,62.22551,52.66047,38,0,3
86139,61.85473,53.22281,37,0,1
86155,58.78762,57.2396,35,0,1
86160,57.79619,58.33925,34,0,1
86193,50.9346,64.18879,29,0,1
86249,38.28107,70.50262,34,0,1
86254,37.09579,70.9249,28,0,1
86276,31.77079,72.5907,0,0,0
86283,30.03771,73.0631,0,0,0
86284,29.78855,73.12857,0,0,0
86305,24.46054,74.39786,0,0,0
86322,20.00434,75.29645,0,0,0
86351,12.06286,76.6158,0,0,0
86387,19.93403,-75.10653,0,0,0
86408,48.87972,-65.15761,19,0,2
86415,51.47253,-63.43495,33,0,1
86416,51.68591,-63.28134,34,0,1
86438,70.95897,-26.86981,0,0,0
86447,70.30111,30.39872,60,0,3
86457,67.92748,39.5794,60,0,3
86469,64.9149,47.2026,46,0,3
86498,59.63319,55.71312,35,0,1
86505,58.26693,57.33909,33,0,1
86511,57.0728,58.62699,34,0,1
86583,41.46363,68.96248,9,0,2
86586,40.76961,69.25392,21,0,1
86597,38.19695,70.25939,40,0,3
86598,37.96089,70.34617,34,0,1
86604,36.53685,70.85186,2,0,0
86611,34.85869,71.41103,0,0,0
86656,23.61174,74.36568,0,0,0
86667,20.73,74.9536,0,0,0
86668,20.46517,75.00492,0,0,0
86684,16.15908,75.78172,0,0,0
86697,12.55808,76.35708,0,0,0
86705,10.29211,76.68898,0,0,0
